"unique_item_no","plots_with_labels","images","instructions","size_h","size_w","colour","masks_with_labels"
"1","all_plots/1_bar_HG_l_27_h_18.png","1_bar_HG_l_27_h_18.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask1.png"
"2","all_plots/1_bar_LG_l_10_h_7.png","1_bar_LG_l_10_h_7.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask2.png"
"3","all_plots/1_line_HG_l_27_h_18.png","1_line_HG_l_27_h_18.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask3.png"
"4","all_plots/1_line_LG_l_10_h_7.png","1_line_LG_l_10_h_7.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask4.png"
"5","all_plots/2_bar_HG_l_31_h_17.png","2_bar_HG_l_31_h_17.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask5.png"
"6","all_plots/2_bar_LG_l_7_h_5.png","2_bar_LG_l_7_h_5.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask6.png"
"7","all_plots/2_line_HG_l_31_h_17.png","2_line_HG_l_31_h_17.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask7.png"
"8","all_plots/2_line_LG_l_7_h_5.png","2_line_LG_l_7_h_5.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask8.png"
"9","all_plots/3_bar_HG_l_22_h_28.png","3_bar_HG_l_22_h_28.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask9.png"
"10","all_plots/3_bar_LG_l_7_h_2.png","3_bar_LG_l_7_h_2.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask10.png"
"11","all_plots/3_line_HG_l_22_h_28.png","3_line_HG_l_22_h_28.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask11.png"
"12","all_plots/3_line_LG_l_7_h_2.png","3_line_LG_l_7_h_2.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask12.png"
"13","all_plots/4_bar_HG_l_40_h_22.png","4_bar_HG_l_40_h_22.png","Approximately how far along the x axis is the lowest y value?","0.75","1","black","masks/mask13.png"
"14","all_plots/4_bar_LG_l_2_h_9.png","4_bar_LG_l_2_h_9.png","Approximately how far along the x axis is the highest y value","0.75","1","black","masks/mask14.png"
